--- QtVCP Screen Started on: Sun, Nov 09 2025 17:12:32 ---
Sun09 17:12: NGCGUI Path /home/zieluch/linuxcnc/nc_files/examples/ngcgui_lib/slot.ngc not in linuxcnc's SUBROUTINE_PATH INI entry
Sun09 17:12: NGCGUI Path /home/zieluch/linuxcnc/nc_files/examples/ngcgui_lib/qpocket.ngc not in linuxcnc's SUBROUTINE_PATH INI entry
--- QtDragon_hd Version 1.5 on Linuxcnc 2.9.3-90-g86cdee2be8 ---
Sun09 17:12: Machine OFF
Sun09 17:12: Hard limits tripped
Sun09 17:12: Tool 0: No Tool
Sun09 17:12: Machine ON
Sun09 17:12: Hard limits tripped
Sun09 17:12: Hard limits tripped
Sun09 17:12: Hard limits tripped
Sun09 17:12: Hard limits tripped
Sun09 17:12: Hard limits tripped
Sun09 17:12: Hard limits tripped
Sun09 17:13: Machine OFF
